 ,34107
!,18
"""",394
&,18
',73714
(,1888
),1712
*,13596
+,1696
",",34320
-,42334
.,11942
..,18
...,1171
....,9
......,9
/,3475
0,185
00,937
09,9
1,5255
1.2,187
1.5,372
10,3382
100,195
106,187
10DAY9,185
11,970
110,748
1145,185
12,1322
120,562
12306,186
126,185
127,185
13,370
14,400
140,185
15,593
150,946
1500,9
150km,370
151km,186
15283702946,9
154,185
15L,188
16,560
160,375
163,185
166,185
17,376
170,561
172,186
18,370
1800,186
180km,185
19,187
1922,188
1928,188
1935,186
1949,188
1997,188
2,4530
2.5,185
20,2627
200,560
2000,9
2001,376
2002,188
2009,188
2014,197
2015,403
2016,18
2016.10,1665
2017,45
2017.10,195
2018,204
210km,185
216,185
217,185
22,9
220,188
2220,188
24,188
2400,9
2540,185
258,186
26,195
260,185
2600m,185
27,390
288,372
28km,185
29,195
290,188
2900,564
2DAY1,185
3,4524
3.5,374
30,4402
300,948
3000,383
3008,376
317,9
318,2921
3200,185
3210,188
3300,185
3300m,185
34,185
340,185
3400,752
342,9
3437,186
35,382
350,188
3500,197
3523201,9
35W,195
360,188
3600,188
3685,195
3700,376
3750,185
39,187
390,188
3900,188
3DAY2,185
4,2453
40,744
400,185
4000,1130
4014,187
410,188
4200,374
4275,185
4298,400
4400,197
4412,372
4420,186
45,9
450,383
4500,755
4513,9
4600,206
4659,372
4696,187
4700,562
4700m,185
4718,372
4800,188
4962,186
4DAY3,185
5,4897
5.4,197
5.5,187
50,748
500,187
5000,187
512,197
530,373
5627900,9
5682320,9
576,186
58,185
5D4,195
5DAY4,185
6,2504
60,582
60km,185
62,185
6250,9
650,186
6578948,186
66,9
6733289,9
6874436,186
6DAY5,185
7,3419
70,755
70%,197
7000,9
7094084,9
72,187
7556,196
78,187
79km,185
7DAY6,185
8,1173
80,1506
8000,185
800m,9
81,185
8476306,186
8DAY7,185
9,1752
9.27,9
9.28,9
90,384
900,188
9000,195
93,185
95,187
96%,188
98,370
999,186
9DAY8,185
:,6479
;,54
=,1538
>,1665
?,561
@,9
A,18
App,558
April16,9
April17,9
April18,9
April19,9
April20,9
April21,9
April22,9
C,187
CF,186
D,360
D1,233
D2,224
D3,215
D4,215
D5,206
D6,215
D7,215
D700,9
D8,9
DAY1,418
DAY2,233
DAY3,233
DAY4,233
DAY5,233
DAY6,233
DAY7,215
DAY8,27
DAY9,27
Day01,9
Day02,9
Day03,9
Day04,9
Day05,9
Day06,9
Day07,9
Day1,576
Day10,186
Day11,186
Day12,186
Day13,186
Day2,753
Day3,753
Day4,753
Day5,372
Day6,372
Day7,186
Day8,372
Day9,186
EveryCloudhasaSilverlining,9
G318,1701
G350,9
LR,555
LostHorizen,376
P,9
PS,929
Ps,187
Q1,197
Q2,197
Q3,197
RMB120Day2,9
RMB134Day5,9
RMB155Day4,9
RMB165Day3,9
RMB212Day8,9
RMB220Day6,9
RMB220Day7,9
RMB356,9
S,9
S201,374
S217,373
SD,186
Shangri,188
Snapseed,185
TA,9
T恤,9
U,9
Y548,374
\,383
_,9
amp,36
app,186
baidu,185
blingbling,9
call,18
cn,603
gt,9
html,603
http,603
i,603
iP6,9
ins,9
iphone6s,185
ktv,9
la,188
led,9
lt,9
mafengwo,603
max,188
ok,188
or,187
ps,383
real,185
stonex5,186
suv,188
u200d,9
weixin,185
www,603
zr1000,185
~,1069
·,1127
–,27
—,6076
“,7294
”,7668
…,15229
⃣,930
℃,185
↑,9
→,5610
∩,18
⋯,1504
①,370
②,370
③,370
═,22940
▷,187
☆,1480
⚠,187
⛰,187
❄,187
❤,187
、,35016
。,99983
《,1923
》,1923
『,36
』,36
【,5142
】,5142
一,3674
一一对,9
一一道来,9
一万只,187
一下,2691
一下子,385
一世,195
一丝,215
一两个,9
一个,12213
一个个,18
一个半,186
一个月,185
一些,1772
一人,185
一件,194
一份,187
一会,242
一会儿,195
一位,36
一侧,186
一共,214
一出,188
一切,412
一切都是,188
一列,9
一副,18
一半,27
一双,385
一口气,563
一句,388
一只,187
一台,204
一号,9
一号线,9
一名,375
一吨,186
一周,566
一回,187
一团漆黑,197
一圈,215
一场,577
一块,186
一块块,186
一块钱,9
一坡,9
一处,9
一夜,27
一大,18
一大早,194
一大群,9
一天,3444
一夫当关,9
一定,2351
一家,771
一家人,188
一宿,9
一对,18
一封,186
一尊,185
一小,224
一层,379
一山,188
一山高,188
一带,188
一幅,9
一年,372
一度,187
一座,1701
一张,821
一截,9
一把,9
一拍即合,9
一拨,394
一排,187
一排排,9
一支,9
一整块,9
一整天,380
一整片,18
一日,562
一日游,186
一旦,188
一早,768
一时,9
一是,9
一晚,578
一曲,186
一望无际,196
一期,186
一本,185
一朵,18
一条,400
一条街,18
一条龙,9
一来,197
一样,1597
一根,197
一模一样,188
一次,1967
一次性,206
一步,579
一段,594
一段时间,187
一段路,373
一波,196
一点,2306
一点点,9
一煲,9
一片,1557
一班,556
一瓶,187
一生,188
一番,558
一百分,9
一百多元,9
一盒,9
一目了然,188
一直,2370
一看,9
一眼,204
一碗,204
一种,411
一秒,18
一秒钟,9
一笼,9
一箱,188
一篇,1147
一系列,186
一级,9
一线,18
一群,36
一股,9
一脸,27
一腔,9
一般,1540
一般来说,185
一般般,197
一色,9
一行,186
一览,187
一觉,373
一角,9
一起,1802
一趟,197
一路,5200
一路上,1138
一身,196
一车,186
一轮,9
一辆,390
一辆辆,9
一边,18
一进,186
一遍,18
一道,194
一部,9
一部分,373
一针,187
一闯,188
一间,9
一队,9
一阵,573
一面,9
一顿,27
一颗,384
一首,9
一首歌,9
一點,185
七,372
七千,9
七天,27
七年,975
七月份,9
七点,195
万一,188
万万,9
万事俱备,9
万亩,1126
万全,188
万达,186
万里,186
三,412
三个,390
三五成群,187
三人,195
三人间,9
三十分钟,9
三地,376
三场,9
三大,389
三年,9
三床,9
三座,1504
三日,197
三条,752
三点,18
三百多,9
三绝,187
三脚架,204
三镜,9
上,11786
上下,197
上午,1313
上半年,9
上去,197
上图,9
上坡,555
上山,775
上帝,9
上床睡觉,188
上报,185
上撒隆,9
上文,9
上方,188
上映,372
上次,18
上海,18
上爬,188
上班,197
上空,186
上能,188
上花,9
上路,9
上边,188
上述,186
上面,371
下,4796
下午,3059
下单,186
下去,194
下回分解,9
下图,752
下坡,187
下定决心,195
下山,2066
下文,188
下方,186
下旬,9
下来,1338
下榻,188
下次,186
下班,9
下着雨,195
下行,9
下起,188
下车,1520
下载,9
下过,195
下降,18
下雨,771
下雪,392
下面,607
下马,185
下马威,188
不,12818
不一会儿,186
不为,186
不为过,188
不久,188
不了,27
不仅,194
不会,1203
不住,197
不依不饶,187
不再,204
不减,9
不到,1332
不化,188
不去,197
不及,9
不可,379
不可多得,188
不可思议,185
不同,763
不同于,9
不含糊,187
不堪,376
不堵车,9
不多,186
不太,18
不太会,9
不好,791
不好意思,187
不如,185
不定,9
不容,188
不少,36
不巧,9
不得不,959
不得了,9
不必,188
不忍,188
不怎么,185
不怕,187
不想,1683
不愁,9
不懈,188
不择手段,188
不收,187
不敢,384
不断,766
不是,3183
不曾,9
不期而遇,9
不来,187
不比,194
不满,188
不然,381
不甘示弱,188
不用,576
不由,9
不由得,186
不由自主,185
不留情面,9
不知,195
不禁,9
不算,18
不管,197
不累,185
不经意,9
不能,1890
不舍昼夜,9
不行,372
不要,3275
不要脸,9
不解之缘,9
不论,188
不论是,188
不输,197
不过,2374
不过如此,188
不远,381
不远千里,186
不适,18
不错,2466
不长,195
不顺,188
不飞,9
不高,185
与,3184
与其,18
专业,392
专用,188
专辑,9
专门,185
且,9
世之,9
世人,385
世外桃源,561
世界,2670
世界级,188
世纪,188
世达赖,557
丛山峻岭,188
东东,188
东南,188
东方,18
东西,768
东达山,187
东部,188
丝毫,9
丢失,9
两,215
两万,185
两三个,186
两个,1955
两人,373
两位,9
两倍,9
两公里,188
两天,1525
两季,9
两山,188
两岸,9
两年,36
两座,188
两日游,186
两晚,9
两有,186
两机,9
两杆,188
两条,9
两条腿,9
两条路,188
两沓隆,9
两点,27
两百块,9
两种,558
两者,188
两边,194
两面,9
严,9
严格,188
严肃,9
严重,196
个,6110
个人,1309
个人感觉,370
个别,384
个城,188
个慢,187
中,5548
中下旬,197
中午,1508
中古,197
中国,1710
中国之最,185
中国工农红军,186
中川,188
中心,1167
中旬,188
中是,9
中毒,204
中焦,186
中甸县,561
中秋节,9
中称,188
中继站,9
中而为,188
中蜂,9
中起,9
中路,188
中转,27
中途,394
中间,794
中龟,185
丰富,9
串串,186
临崖且,185
临时,941
丶,27
丹巴,2502
丹巴县,570
为,5214
为主,188
为了,606
为什么,768
为何,9
为啥,9
为期,18
主线,188
主要,1530
主角,9
主题曲,9
丽水,9
丽江,188
举行,9
乃,197
久,768
久车,9
久违,9
么,45
义工,18
之,2498
之一,583
之下,18
之中,18
之兆,9
之前,1783
之后,3002
之地,376
之外,187
之多,9
之巅,188
之旅,231
之歌,9
之烂,188
之王,205
之称,204
之类,203
之约,195
之行,9
之观,9
之间,1133
之际,204
之风里,9
乌云,195
乌镇,561
乐,187
乐园,9
乐意,9
乐此不疲,18
乐观,185
乐评,9
乐趣,9
乘,1295
乘坐,2614
乘机,188
乘车,197
九九八十一,9
九号,9
九寨沟,9
九日,9
九曲十八弯,18
九月,9
九点,215
九眼桥,186
也,16044
也好,374
也就是说,195
也许,385
习以为常,197
习俗,9
习惯,203
习惯性,18
乡,558
乡村,576
书,187
书包,187
买,2287
买不到,186
买回来,195
买好,9
买来,186
买票,401
买菜,9
买过,185
乱,197
乱石滩,187
乳,18
了,62170
了解,370
争取,185
争夺,188
争夺战,188
事,381
事先,206
事宜,9
事实上,196
事实证明,194
事情,389
事故现场,376
事是,9
事物,560
事项,185
二,382
二十分钟,9
二号,18
二哥,63
二是,9
二来,188
二话不说,188
二郎山,1881
于,1766
于是,1814
云,985
云儿,9
云南,2059
云南省,188
云南省迪庆藏族自治州,188
云南迪庆藏族自治州,188
云台,9
云层,9
云影,9
云朵,206
云遮,9
云雾,417
互不相让,188
互动,9
互相,421
互相帮助,187
五,373
五个,9
五六,185
五六个,9
五六十,9
五十公里,9
五十多,9
五座,188
五彩斑斓,197
五明,258
五星红旗,394
五月,9
五条,9
五步,374
五毛钱,186
五洲四海,186
五点,206
五瓶,9
五种,187
五色,4499
五花八门,188
五音不全,9
亚丁,25458
些,204
交界处,197
交相辉映,9
交织,9
交通,564
交通工具,185
交通枢纽,188
交通要道,195
产生,9
享受,376
享誉,186
亮丽,185
亲,9
亲切,9
亲密,9
亲眼,9
亲眼见到,9
亲自,185
亲身,188
亲身经历,185
亲近,9
人,12277
人们,768
人会,560
人像,195
人去,185
人口,383
人和事,188
人品,204
人均,372
人多,9
人太多,186
人头,9
人家,197
人座,9
人情,9
人文,212
人来,187
人民,955
人流,196
人满为患,187
人潮,9
人烟,9
人物,401
人生,578
人生如梦,195
人算不如,188
人类学家,188
人群,744
人身安全,188
人配,9
人间,9
人间仙境,9
人魂,9
亿万,9
什么,4171
仁丹,9
仅,18
仅仅,188
仅供参考,18
仅此而已,188
今天,817
今天上午,195
今天下午,186
今天天气,18
今年,973
今年年底,9
今日,381
今晚,206
介意,9
介绍,1743
仍,9
仍然,195
从,12360
从中,9
从何,188
从兴,186
从来,751
从来不,9
从此,596
从洛绒,9
从色,204
从龙,376
仓促,185
仓央嘉,204
仔细检查,9
他,1263
他们,2850
他会,9
仙,197
仙乃日,1322
仙乃日峰,185
仙境,196
仙女,18
仙鹤,9
代名词,188
代表性,185
令,197
令人,9
令人神往,373
以,1327
以上,1324
以下,221
以为,197
以便,188
以免,371
以内,9
以前,383
以北,376
以南,376
以及,1347
以后,1719
以备,185
以外,393
以来,589
以至于,9
以防,9
以防万一,194
仪式,206
们,985
仰头,188
仰望,187
仰角,9
仲仲,18
仲仲妹,9
价格,1556
价格上涨,185
价格便宜,9
任何,579
任务,381
任性,27
仿佛,27
伊措,186
伏,187
伏案,9
伏笔,9
休息,3111
休整,381
休足,186
众多,383
众山,187
优惠,18
优点,9
优越,187
伙伴,9
伙食,9
会,8915
会卖,9
会合,9
会员,186
会带,9
会晤,9
会租,9
会见,195
会高反,188
伞端,9
伟大胜利,186
传统,188
传说,757
传送门,186
传阅,186
伤,9
伤心,188
伫立,9
估计,559
伴,197
伴着,9
伸手不见五指,9
似乎,18
似的,9
但,1422
但是,6071
位于,2273
位置,742
低,954
低头,194
住,2912
住宿,2706
住宿费,186
佐餐,185
体会,769
体力,1134
体型,186
体质,561
体贴,9
体验,617
何乐而不为,18
何其,9
何必,188
何物,9
余公里,372
余户,185
佛塔,195
佛学院,454
佛心,187
佛教,9
佛祖,376
佛系,585
作为,224
作家,376
作用,187
作罢,18
作者,187
你,9663
你们,761
佩服,765
佳肴,185
佳能,18
使,206
使用,186
侄女,9
侄子,9
例假,187
供,9
供奉,9
依据,188
依旧,570
依次,9
依然,1017
依稀,197
侧,9
侵蚀,186
便,1289
便于,749
便利,185
便宜,595
便捷,188
便携式,186
便是,571
便民,9
促使,18
俊,9
保存,382
保护区,188
保持,560
保暖,1325
保温,9
保温杯,187
保温瓶,370
保留,9
保证,195
保险,195
保险杠,9
保鲜膜,9
保鲜袋,185
